"created","text","url","latitude","longitude","retweets","favorites","source.r","hashtag","z"
2018-02-18 23:58:22,"While we<e2><80><99>re celebrating #BlackPanther, remember real hero<e2><80><99>s like Dez don<e2><80><99>t wear capes. https://t.co/wurN0yNVrH","https://twitter.com/ronniesidneyii/status/965374964634390528",NA,NA,0,1,NA,"#blackpanther",1
2018-02-18 23:58:21,"One of my favorite things about #BlackPanther is how strong and beautiful African women are portrayed <ed><a0><bd><ed><b8><8d><ed><a0><bd><ed><b1><8f><ed><a0><bc><ed><bf><be>","https://twitter.com/dshiz221/status/965374963875237888",NA,NA,1,6,"IPHONE","#blackpanther",1
2018-02-18 23:58:21,"$DIS - let Monday a holiday, bring in the schools to see #BlackPanther 3/16 calls <ed><a0><be><ed><b4><99><ed><a0><bc><ed><bf><be>","https://twitter.com/clcapitalfx/status/965374961039921154",NA,NA,0,2,"IPHONE","#blackpanther",1
2018-02-18 23:58:19,"#BlackPanther... phenomenal","https://twitter.com/TonyWestside088/status/965374952420585472",NA,NA,0,2,"IPHONE","#blackpanther",1
2018-02-18 23:58:17,"boi i need no soul stone because chadwick boseman's existence already slayed my soul in bliss #BlackPanther","https://twitter.com/CAPTOXYMORON/status/965374947278204929",NA,NA,0,0,NA,"#blackpanther",1
2018-02-18 23:58:15,"https://t.co/V33Y7pbhLO

Excellent #BlackPanther review.","https://twitter.com/jgct77/status/965374936847208448",NA,NA,0,0,"ANDROID","#blackpanther",1
2018-02-18 23:58:15,"I'm serious! #BlackPanther is the best superhero movie of all time! I haven't even watched it yet but I know it's t<e2><80><a6> https://t.co/lVsOd0MHa1","https://twitter.com/DonWayne181/status/965374936570368006",NA,NA,0,0,NA,"#blackpanther",1
2018-02-18 23:58:14,"#blackpanther  #diversity #diversityinhollywood #BlackHistoryMonth <e2><9a><a1><ef><b8><8f> <e2><80><9c>Black Panther posts fifth-biggest box office<e2><80><a6> https://t.co/KcIPDFbHnb","https://twitter.com/Workingforgood2/status/965374933500153857",NA,NA,0,0,"WEB","#blackpanther",1
2018-02-18 23:58:14,"#BlackPanther is. amazing. Wow wow wow still recovering from all the beautiful things about it.","https://twitter.com/alcampanelli/status/965374931935612929",NA,NA,0,3,"IPHONE","#blackpanther",1
2018-02-18 23:58:14,"Finally got to watch #BlackPanther Loved every bit of it! Can<e2><80><99>t wait to watch it again. https://t.co/ERNJZjeT4k","https://twitter.com/abigailawai/status/965374931281199104",NA,NA,0,1,"IPHONE","#blackpanther",1
2018-02-18 23:58:13,"#BlackPanther was AMAZING","https://twitter.com/xokelzzz/status/965374930727657474",NA,NA,0,3,"IPHONE","#blackpanther",1
2018-02-18 23:58:13,"@HumbleRachid You are not following. Go through the #BlackPanther trends. That's where my point is. There's a whole<e2><80><a6> https://t.co/zi9I0OKntZ","https://twitter.com/iHardySalim/status/965374930694164480",NA,NA,0,0,"ANDROID","#blackpanther",1
2018-02-18 23:58:12,"Saw #BlackPanther a second time today with Lucas. He did OK, got a bit squirmy in the middle. I enjoyed the film more the second time.","https://twitter.com/Geniusbastard/status/965374923010064389",NA,NA,0,7,"IPHONE","#blackpanther",1
2018-02-18 23:58:08,"With all the support and love going to #BlackPanther it might time for us Latinos to get some superhero representat<e2><80><a6> https://t.co/Z4LadPQpCW","https://twitter.com/StartingSith/status/965374909470953477",NA,NA,0,3,"IPHONE","#blackpanther",1
2018-02-18 23:58:07,"i HAVE to go see #BlackPanther again. best movie hands down.","https://twitter.com/hisfavday/status/965374903603036160",NA,NA,1,3,"IPHONE","#blackpanther",1
2018-02-18 23:58:07,"#BlackPanther was so <ed><a0><bd><ed><b4><a5><ed><a0><bd><ed><b4><a5><ed><a0><bd><ed><b4><a5>","https://twitter.com/Qdeezy__/status/965374901791199233",NA,NA,0,0,"IPHONE","#blackpanther",1
